,动词,词频
717,俗称,1
718,触发,1
722,失,1
723,转移 ,1
726,下起,1
728,偏多  ,1
729,封冻,1
696,值爆,1
695,占领,1
694,备受,1
693,开机,1
664, 就,1
665,互认,1
666,发誓,1
667,分开,1
668,讲,1
670,家 ,1
671,回到,1
672,抗拒,1
674,整治,1
675,治,1
676,破解,1
677,举办,1
680,倾倒,1
682,花,1
683,重建,1
684,估量,1
685,排放,1
691,天崩地裂,1
692,献映,1
730,利于,1
731,减产,1
734,必不可少,1
765,呼吁,1
769,促,1
771,把,1
775,查清,1
779,开发,1
784,筹划,1
785,亏空 ,1
786,致使,1
787,停电,1
788,停暖,1
789,蒙受,1
790,防患于未然,1
791,波及,1
797,对不起,1
798,欠,1
799, 晃荡,1
800,算是,1
801,碰,1
802,冲走,1
803,怎样,1
768, 省,1
764,贯通,1
735,成,1
763,地勘,1
736,缴,1
738,偏高,1
740,贡献,1
742,如同,1
743,吞噬,1
744,铭记,1
746, 站,1
747,放下,1
749,借鉴,1
752,减贫,1
753,理解,1
754,逃跑,1
756,蹲,1
757,停车,1
758, 待,1
759,下车,1
760,寻找,1
761,躲避,1
762,源自,1
661,获得,1
659,出名,1
656,经,1
539,普降,1
543,出来,1
544, 接,1
546,形成,1
547,倒,1
549,闭眼,1
550, 流泪,1
551,挖,1
553,坐像,1
554,刻有,1
555,剜 ,1
558,改变,1
559,喘息,1
560,分裂 ,1
563,分,1
565,构成,1
567, 处以,1
568,罚款,1
571,帮,1
573,一炮而红,1
541,受访,1
538,爬,1
576,察觉,1
536, 赴,1
499,方便,1
500,购票,1
506,警觉,1
508,指引,1
510, 见,1
515,担心,1
516,小 ,1
518,惊现,1
522,大喊,1
524,肃满,1
525,争分夺秒 ,1
526,拯救,1
528,付出,1
529,划伤,1
530,停下,1
531,缩短,1
533,冰洁,1
534,救人,1
535,带队,1
574,跑跑,1
577,落下,1
654,返,1
612,撕成,1
614,不堪一,1
616,扣停,1
618,干挂,1
619,有条不紊,1
622,逃走,1
623,谴责,1
626,挤压,1
628, 化,1
629,姓,1
631,看见,1
632,掉,1
636,觉察,1
640,报告,1
646,提起,1
647,心有余悸,1
648,牺牲,1
650,做实,1
652,在于,1
653,告诉,1
613,变为,1
610,实属,1
578,意识,1
608,了,1
582,傍,1
583,临,1
584,依,1
585,相隔,1
587,位列,1
588,揭秘,1
589,住在,1
592,嫁给,1
593,数以万计,1
594, 数以万计,1
595,支离破碎 ,1
596,抚平,1
597,带,1
598,走向,1
600,蹭,1
602,动,1
605,坐下,1
606, 讪讪笑,1
607,道 ,1
1182,发文,1
